소분류,바코드,제품명,제조사,유통기한,소비기한-유통기한
육류,8809358841554,부처스마켓 순살양념포크,(주)미트라인,12,180.0
어묵,8809029030690,어부의바 콘치즈맛,주식회사 어메이징팩토리,50,3.0
소시지,8809013406197,이탈리안소시지,에쓰푸드(주),60,7.0
육류,8809504550156,본래편육,(주)더푸른식품,14,180.0
소시지,8801074250610,비엔나소세지,한성기업(주)김해공장,55,7.0
소시지,8809013403516,뉴른베르거그릴소시지,에쓰푸드(주),40,7.0
김치,8809508390024,배추김치,빛고을김치 영농조합법인,120,180.0
어묵,8809492420066,무궁화 부산어묵,무궁화푸드,9,3.0
육류,8809530770030,이담무뼈닭발,이담,360,180.0
육류,8809452220064,숯내음 닭발,(주)오성파트너스 포천지점,360,180.0
소시지,8809013403127,김치소시지,에쓰푸드(주),40,7.0
햄,8809222051584,셀덕 오리훈제 슬라이스 (비살균 제품),(주)모란식품,30,7.0
치즈,8809341120031,산내음들바람 구워먹는 할루미치즈,산들치즈,30,70.0
두부,8809489190002,화심튼튼한두부,농업회사법인(주)화심두부,15,90.0
육류,8809496550073,제육볶음,주식회사 디에스에프앤비,360,180.0
육류,8809507920017,부촌유황오리양념불고기,주식회사 부촌푸드,360,180.0
육류,8809097286142,간장오리불고기,농업회사법인(주)주원산오리,10,180.0
육류,8809466790089,왕양념구이,(주)세창푸드,365,180.0
육류,8809452090278,마녀불오도독살,다미설,365,180.0
육류,8809501730230,대원푸드 돼지양념 왕구이,농업회사법인 대원에프씨 주식회사,360,180.0
두부,8802659140241,참좋은 우리콩두부,엠플러스에프엔씨 주식회사,17,90.0
햄,8809222051669,셀덕 오리훈제 슬라이스 (비살균 제품),(주)모란식품,30,7.0
육류,8809097286159,매운오리불고기,농업회사법인(주)주원산오리,10,180.0
육류,8801492362049,바삭한후라이드치킨,(주)하림,270,180.0
묵,8809415041156,참도토리묵,농업회사법인주식회사새벽애,14,0.0
소시지,8809013403448,세블락소시지,에쓰푸드(주),50,7.0
소시지,8809383600270,700비어갈릭소시지,(주)미소담은,15,7.0
치즈,8809338740327,명품 후레쉬 모짜렐라치즈,(주)장안유업,60,70.0
김치,8801926196318,도들샘맛김치,(주)도들샘,60,180.0
김치,8803601000262,열무김치,(주)한성식품서산지점,28,180.0
어묵,8803767020098,[냉동]삼각어묵,미도식품,600,3.0
소시지,8809013405480,바베큐그릴비엔나,에쓰푸드(주),40,7.0
어묵,8803063000039,부산선진맛어묵,선진식품,15,3.0
소시지,8801074000420,웰니스브런치 오리지널,한성기업(주)김해공장,40,7.0
우유,8801121654217,매일우유,매일유업(주) 광주공장,210,45.0
김치,8803601001511,한성돌산갓김치,(주)한성식품,30,180.0
우유,8801069170831,남양 신선우유(생산중단),남양유업 주식회사 세종공장,5,45.0
베이컨,8801007366111,햄스빌실속형베이컨,씨제이제일제당(주),180,0.0
소시지,8809488880065,상하농원 스모크 프랑크,상하농원(유) 햄공방,31,7.0
햄,8809365660773,바베큐닭갈비,(주)야미식스,270,7.0
육류,8809145880834,야심찬곱창볶음,(주)임꺽정푸드시스템,360,180.0
육류,8809419950553,화로튤립닭발,하성에프앤비,360,180.0
어묵,8803453000045,선우어묵 고추핫바,(주)새난,12,3.0
육류,8809365660780,데리야끼BBQ꼬치,(주)야미식스,360,180.0
김치,8809422540277,김경숙 순무김치,농업회사법인 순무명가,60,180.0
어묵,8801066054752,부산어묵 쫄깃한 야채사각,(주)사조대림,13,3.0
육류,8809251331114,버팔로봉,(주)마니커에프앤지(F&G),270,180.0
김치,8809561380000,포기김치(절단),농업회사법인 광동종합식품(주),60,180.0
치즈,8809360901499,킹치즈 고다100 (G),(주)킹스코,90,70.0
소시지,8809090817763,화이트소시지,(주)미트벨리,10,7.0
김치,8809508340111,누룩발효 갓김치,주식회사 뜨레찬,360,180.0
김치,8809305320149,강화섬순무김치,강화섬김치,180,180.0
두부,8809527240027,맛동 순두부,미륵산식품,12,90.0
소시지,8801052035505,청정원 리치부어스트,대상델리하임 주식회사,30,7.0
육류,8809363791271,돼지왕갈비 / 냉장,상호 주식회사,15,180.0
우유,8801844017139,굿포유 우유,학교법인건국대학교건국유업.건국햄,18,45.0
소시지,8809406030503,베스틱 닭가슴살 소시지 훈제맛,농업회사법인 킹스테이블(주),15,7.0
두부,8801114114810,찌개두부,풀무원식품(주),15,90.0
육류,8809396131037,명우 소막창,(주)범어푸드,365,180.0
소시지,8809013403455,페파맛스모크소시지,에쓰푸드(주),40,7.0
육류,8809358841318,매운돼지구이,(주)미트라인,12,180.0
소시지,8801007050874,동그랑땡,씨제이제일제당(주),90,7.0
육류,8809501700028,아주매운 꾸이볶음닭발,드래곤 팩토리,360,180.0
치즈,8809452820158,EUNAs GRILL CHEESE,농업회사법인 주식회사 은아목장,60,70.0
육류,8809363791097,LA식 양념갈비 / 냉동,상호 주식회사,365,180.0
김치,8809422540031,김경숙 순무물김치,농업회사법인 순무명가,60,180.0
두부,8809009551191,정성한모,강릉초당두부,17,90.0
김치,8803601000255,열무김치,(주)한성식품서산지점,28,180.0
햄,8809524230045,직화로스팅 오리훈제,(주)자연푸드,45,7.0
육류,8809245332028,양념 곱창(I),(주)청우푸드,270,180.0
햄,8809385946567,참! 건강한 허브 가슴살,(주)참프레,30,7.0
어묵,8809183070181,한가득어묵,해맑은 식품(주),15,3.0
김치,8809561380017,포기김치(절단),농업회사법인 광동종합식품(주),60,180.0
소시지,8801074255905,한성스모크비엔나소시지,한성기업(주)김해공장,730,7.0
소시지,8801047570745,후랑크 소세지,(주)동원F&B,45,7.0
육류,8809377820851,머땀 수줍은 닭근위 마늘직화구이,(주)티아이지푸드,360,180.0
김치,8803601000408,갓김치,(주)한성식품서산지점,28,180.0
소시지,8801074002561,에델부어스트FZ,한성기업(주)김해공장,365,7.0
육류,8809531530008,매콤양념돼지막창,주식회사 해담솔푸드,365,180.0
김치,8809483630061,정다래포기김치,(주)푸름,180,180.0
햄,8809222051782,셀덕 오리훈제 슬라이스 (비살균 제품),(주)모란식품,30,7.0
김치,8809414460248,꽃순이(특)김치,평창꽃순이,365,180.0
소시지,8801066020146,화이트 그릴 부어스트,(주)사조대림,45,7.0
소시지,8809013403141,불고기소시지,에쓰푸드(주),40,7.0
김치,8801047584988,양반맛김치미니독,(주)동원F&B,45,180.0
김치,8809508340302,누룩발효 갓김치,주식회사 뜨레찬,360,180.0
소시지,8801047578550,동원 자연레시피 비엔나,(주)동원F&B,35,7.0
육류,8809230838863,매콤 양념 돼지불고기,화성종합식품(주),10,180.0
육류,8809533460020,모손 수제 떡갈비(돼지),모손푸드,720,180.0
육류,8809218461458,양념소대창구이,(주)숲풀림식품,365,180.0
치즈,8809453150117,구워먹는치즈,호호영농조합법인,65,70.0
소시지,8809013405923,존쿡델리미트 스모크브랏,에쓰푸드(주)음성공장,40,7.0
두부,8809511250049,하늘이 내린 두부,농업회사법인(주)라라스팜,20,90.0
육류,8809127021217,간장을 머금은 닭한마리 찜,(주)오도푸드서비스,7,180.0
소시지,8804888000198,프리미엄포크소시지 불고기맛,(주)코주부 B&F,100,7.0
육류,8809313250186,꼬꼬양념닭갈비 / 냉동,(주)중앙식품,360,180.0
소시지,8801074000604,비바크부어스트F,한성기업(주)김해공장,270,7.0
햄,8809504880116,다매향 신선통오리 훈제,농업회사법인 주식회사 다오네푸드,45,7.0
김치,8809414460231,꽃순이(특)김치,평창꽃순이,365,180.0
육류,8809145880841,야심찬돼지껍데기,(주)임꺽정푸드시스템,360,180.0
어묵,8803453000090,선우어묵 고추평,(주)새난,12,3.0
치즈,8809360901796,엔젤스노우 모짜렐라,(주)킹스코,90,70.0
육류,8809501730032,대원푸드 소불고기,농업회사법인 대원에프씨 주식회사,360,180.0
베이컨,8809013403011,후레쉬베이컨,에쓰푸드(주)음성공장,40,0.0
어묵,8803453500804,선우어묵 진수성찬,(주)새난,12,3.0
치즈,8809316150025,까몽FA100,(주)본델,90,70.0
육류,8809398780448,마메든 양념 매콤 닭발,(주)두루,60,180.0
김치,8803601000323,알타리 김치,(주)한성식품,28,180.0
육류,8809358841479,미트라인돌돌양념갈비,(주)미트라인,10,180.0
치즈,8809360901772,엔젤스노우 레드체다,(주)킹스코,90,70.0
육류,8809363791240,참맛오리주물럭 / 냉동,상호 주식회사,365,180.0
햄,8809222051614,셀덕 오리훈제 슬라이스 (비살균 제품),(주)모란식품,30,7.0
햄,8809222051522,셀덕 오리훈제 슬라이스 (비살균 제품),(주)모란식품,30,7.0
어묵,8801066310438,쉐프덴 탱탱한 소시지말이 냉동,(주)사조대림,270,3.0
육류,8809504550002,본래편육,(주)더푸른식품,14,180.0
육류,8809508330525,미소삼겹살,(주)청정화푸드,360,180.0
햄,8809365660551,데리꼬지,(주)야미식스,720,7.0
햄,8809013405275,존쿡델리미트 터키브레스트,에쓰푸드(주)음성공장,45,7.0
김치,8809305320200,강화섬백김치,강화섬김치,180,180.0
육류,8809377820691,황홀한 참숯직화 오돌뼈,(주)티아이지푸드,45,180.0
김치,8809489230166,배추김치,(주)채자연,360,180.0
육류,8809366354992,훈제돼지막창,(주)달구지푸드,365,180.0
김치,8801047585176,양반포기김치(KT),(주)동원F&B,45,180.0
우유,8801115114154,서울우유 나 100%,서울우유협동조합 양주공장,12,45.0
햄,8809222051577,셀덕 오리훈제 슬라이스 (비살균 제품),(주)모란식품,30,7.0
햄,8809222051478,셀덕 오리훈제 슬라이스 (비살균 제품),(주)모란식품,30,7.0
육류,8809343351808,아로니아 소불고기용,(주)고향미트,15,180.0
육류,8809377820721,머땀 돼지고추장 불고기,(주)티아이지푸드,365,180.0
어묵,8809492420097,무궁화 부산어묵,무궁화푸드,9,3.0
햄,8809013401116,그릴드치킨,에쓰푸드(주)음성공장,45,7.0
육류,8809337220288,막달군 숙성돼지막창,(주)서라벌푸드,360,180.0
햄,8809517770107,슈바이네학센(가열제품),만나푸드,45,7.0
김치,8801047585350,양반총각김치(KT),(주)동원F&B,45,180.0
우유,8801115215127,서울우유,서울우유협동조합 용인공장,12,45.0
김치,8801926541262,무말랭이,(주)도들샘,50,180.0
김치,8809414460057,SK 황태김치,평창꽃순이,365,180.0
육류,8809358841240,미트라인양념돼지갈비,(주)미트라인,12,180.0
우유,8801207140214,파스퇴르 바른목장 우유,롯데제과(주)파스퇴르공장,13,45.0
육류,8809504550354,제일 족발,(주)더푸른식품,30,180.0
햄,8809222051461,셀덕 오리훈제 슬라이스 (비살균 제품),(주)모란식품,30,7.0
육류,8809383421073,닭불갈비,영화푸드,10,180.0
우유,8809471620050,벧엘목장 유기농 우유,벧엘영농조합법인,15,45.0
육류,8809415634013,고추장 불고기,(주)한쿡푸드,10,180.0
육류,8809508330099,고추장불삼겹살,(주)청정화푸드,360,180.0
김치,8809422540314,김경숙 밴댕이순무김치,농업회사법인 순무명가,60,180.0
햄,8809222051560,셀덕 오리훈제 슬라이스 (비살균 제품),(주)모란식품,30,7.0
두부,8809007701215,제일순두부,제일식품,244872,90.0
우유,8801121101018,매일우유,매일유업(주) 광주공장,210,45.0
우유,8801069121253,남양 아인슈타인(생산중단),남양유업 주식회사 세종공장,8,45.0
육류,8809364422242,뼈없는 오리주물럭,(주)견우푸드,12,180.0
어묵,8803453501153,선우어묵 란,(주)새난,12,3.0
우유,8801069300801,고소한 저지방,남양유업(주) 경주공장,15,45.0
육류,8809394580455,언양식소불고기,(주)부산축산,14,180.0
햄,8809430220543,에드워드권 수비드 척아이롤스테이크,(주)케이프라이드,360,7.0
김치,8809489230388,파김치,(주)채자연,60,180.0
김치,8803601001191,맛김치,(주)한성식품,60,180.0
햄,8809522110035,오리발 간식,(주)성우푸드,300,7.0
우유,8801069222578,남양 맛있는 우유 GT 저지방,남양유업(주) 나주공장,14,45.0
어묵,8801066051225,쉐프텐 부추어전,(주)사조대림,13,3.0
육류,8809495046904,양념혼합닭꼬지,(주)야미식스,15,180.0
어묵,8809492420028,무궁화 부산어묵,무궁화푸드,9,3.0
묵,8802528800047,동부묵,주식회사 농민식품,15,0.0
육류,8809363791257,숯불구이 고추장칼집 / 냉동,상호 주식회사,365,180.0
소시지,8801047574583,동원 캠핑&그릴 미니후랑크,(주)동원F&B,45,7.0
육류,8809558620027,전통수제양념돼지갈비,생갈비닷컴,180,180.0
육류,8809531530022,매콤양념돼지막창,주식회사 해담솔푸드,365,180.0
치즈,8809301686447,고다 치즈,주) 선인,90,70.0
육류,8809468980228,미쁘미 발효숙성국내산 LA식돼지갈비,유한회사 믿음식품,10,180.0
햄,8809222051751,셀덕 오리훈제 슬라이스 (비살균 제품),(주)모란식품,30,7.0
소시지,8801074250603,비엔나소세지,한성기업(주)김해공장,55,7.0
소시지,8809013407392,페파맛스모크소시지,에쓰푸드(주),40,7.0
김치,8801047589327,양반맛김치(KT),(주)동원F&B,45,180.0
묵,8808397009116,CUT우동모양곤약,(주)대신물산,180,0.0
육류,8809482555075,청보리 숯불향 소불고기,농업회사법인 주식회사 이앤지푸드,270,180.0
육류,8809358840373,미트라인돌돌양념갈비,(주)미트라인,10,180.0
햄,8809472990299,참살이 오리훈제,농업회사법인 주식회사 미소가,50,7.0
육류,8809496550004,소불고기,주식회사 디에스에프앤비,360,180.0
햄,8809389820405,훈제오리 바베큐 슬라이스,영농조합법인 비엔푸드,45,7.0
육류,8809508330488,참맛좋은닭갈비,(주)청정화푸드,360,180.0
우유,8801207150725,파스퇴르 바른목장 우유(팩),롯데제과(주)파스퇴르공장,80,45.0
육류,8809142206507,닭다리,(주)올품,7,180.0
육류,8809074760191,매운맛 홀랑닭발,(주)빠보로꼬,365,180.0
묵,8809051715015,설악산묵마을 도토리묵,설악식품,10,0.0
치즈,8809360901833,엔젤스노우 모짜렐라,(주)킹스코,90,70.0
어묵,8809029030829,버섯어묵,삼진식품(주),13,3.0
두부,8809380970208,오늘맛두부,서한식품 주식회사,15,90.0
베이컨,8809013402915,메이플베이컨,에쓰푸드(주)음성공장,40,0.0
육류,8809358840380,미트라인돌돌양념갈비,(주)미트라인,10,180.0
치즈,8803459000001,애터미 임실 스트링치즈,임실치즈축산업협동조합,70,70.0
김치,8809334526147,(상)포기김치,농업회사법인주식회사담채원,365,180.0
소시지,8801052036014,청정원 리치부어스트,대상델리하임 주식회사,30,7.0
우유,8801207120810,파스퇴르 저온살균우유,롯데제과(주)파스퇴르공장,13,45.0
육류,8809474780294,금오내장,푸건에프앤씨,30,180.0
소시지,8801492621313,하얀속살비엔나,(주)하림,30,7.0
육류,8809383421172,저절로손이가는대구막창,영화푸드,10,180.0
육류,8809465700232,이계순 닭발근위 볶음,(주)반석에프에스,360,180.0
육류,8809531530060,매콤양념무뼈닭발,주식회사 해담솔푸드,365,180.0
육류,8809496550028,닭불고기,주식회사 디에스에프앤비,360,180.0
베이컨,8809228683024,배나무골연잎삼겹,(주)이목원,45,0.0
햄,8809500060024,흑마늘무뼈족발,농업회사법인 자연과농부(주),60,7.0
소시지,8801123309948,롯데 의성마늘비엔나,롯데제과(주),30,7.0
소시지,8801492365651,참맛그릴후랑크,(주)하림,40,7.0
두부,8809528200037,자연마춤두부 부침용,농업회사법인한살림안성마춤식품유한회사,14,90.0
묵,8809532430000,도토리묵,산촌식품,10,0.0
소시지,8801074000734,통후랑크소시지,한성기업(주)김해공장,55,7.0
베이컨,8809013402939,메이플베이컨,에쓰푸드(주)음성공장,40,0.0
햄,8809287926100,아빠덕애(愛) 훈제오리,(주)삼호유황오리,45,7.0
치즈,8809360901758,엔젤스노우 레드체다(F),(주)킹스코,360,70.0
육류,8809365660971,탄두리바베큐치킨,(주)야미식스,360,180.0
햄,8809253900066,참살이굿오리훈제,(주)정다운 훈제공장,2,7.0
육류,8809419950607,직화구이 불닭,하성에프앤비,360,180.0
김치,8809508340265,누룩발효 갓김치,주식회사 뜨레찬,360,180.0
육류,8809355310121,하남  닭갈비,주현푸드 유한회사,360,180.0
소시지,8809517770084,만나모듬소시지,만나푸드,15,7.0
묵,8809130210011,도토리묵,(주)수암,15,0.0
치즈,8809316150117,엑설런트피자치즈,(주)본델,90,70.0
김치,8809305320156,강화섬순무김치,강화섬김치,180,180.0
육류,8809412130068,대자연 큰뼈없는 왕족발,대자연,30,180.0
베이컨,8801007315515,햄스빌베이컨스테이크,씨제이제일제당(주),25,0.0
치즈,8809360901338,미니 큐브 체다,(주)킹스코,90,70.0
김치,8809489230142,배추김치,(주)채자연,360,180.0
햄,8809222051546,셀덕 오리훈제 슬라이스 (비살균 제품),(주)모란식품,30,7.0
햄,8809500060048,바베큐삼겹,농업회사법인 자연과농부(주),60,7.0
햄,8809492080130,아침닭가슴살(훈제),아침 주식회사,365,7.0
햄,8801492368126,와인숙성닭가슴살 퀴노아페퍼,(주)하림,40,7.0
소시지,8809474170132,Rs-불갈비맛소시지,농업회사법인 주식회사 솔미식품,40,7.0
치즈,8809360902502,자연치즈K,(주)킹스코,90,70.0
육류,8809430220321,간장닭불고기 / 냉동,(주)케이프라이드,360,180.0
육류,8809245333445,데리야끼 양념닭꼬치,(주)청우푸드 인천지점,360,180.0
김치,8809489230135,배추김치,(주)채자연,360,180.0
어묵,8803767038031,야채맛 튀김어묵(튀김어묵)-1,미도식품,600,3.0
베이컨,8809013402786,베이컨,에쓰푸드(주)음성공장,40,0.0
치즈,8809360901789,엔젤스노우 레드체다(F),(주)킹스코,360,70.0
두부,8809112992560,손두부,삼영식품,15,90.0
육류,8809468980006,미쁘미춘천양념닭갈비,유한회사 믿음식품,10,180.0
육류,8809363791400,숯불구이 고추장 칼집 / 냉장,상호 주식회사,15,180.0
어묵,8803767020067,[냉동]수출용 어묵 속 치즈,미도식품,600,3.0
묵,8809051710041,설악산묵마을 들깨묵,설악식품,10,0.0
육류,8809501730049,대원푸드 돼지주물럭,농업회사법인 대원에프씨 주식회사,360,180.0
소시지,8809517770046,카레맛소시지,만나푸드,15,7.0
햄,8809013407668,바베큐 로인,에쓰푸드(주)음성공장,40,7.0
어묵,8801066055438,스노우크랩킹,(주)사조대림,40,3.0
우유,8801526132044,부산우유,부산경남우유협동조합,180,45.0
김치,8801047585459,양반깍두기(KT),(주)동원F&B,45,180.0
햄,8809437070295,잠봉 드 파리,프랑스구르메(주),40,7.0
육류,8809508330167,청정화소불고기,(주)청정화푸드,360,180.0
소시지,8809013409013,비프핫도그,에쓰푸드(주),40,7.0
소시지,8809499650053,닭가슴살소시지-밀크부어스트,(주)미젤 제2공장,30,7.0
육류,8809563420049,양념무뼈닭발,농업회사법인(주)대광,360,180.0
육류,8809424410028,착한본돈편육,일미식품,40,180.0
육류,8809358840076,미트라인양념돼지갈비,(주)미트라인,12,180.0
햄,8809439180282,삼채훈제오리,농업회사법인 대영씨제이(주),60,7.0
육류,8809419950577,구운통뼈닭발,하성에프앤비,360,180.0
소시지,8801007214016,오리지널후랑크,씨제이제일제당(주),41,7.0
김치,8809489230326,갓김치,(주)채자연,300,180.0
육류,8809474780270,돼지염통,푸건에프앤씨,30,180.0
소시지,8801492621306,하얀속살비엔나,(주)하림,30,7.0
두부,8809290685100,자연그대로두부,자연그대로영농조합법인,0,90.0
육류,8809531530039,매콤양념무뼈닭발,주식회사 해담솔푸드,365,180.0
소시지,8801123309566,에센뽀득,롯데제과(주),30,7.0
육류,8809515350127,한상돈불고기,(주)피아이씨푸드시스템,360,180.0
육류,8809385945997,참허브통가슴살치킨까스,(주)참프레,270,180.0
육류,8809508330471,매운양념오돌뼈,(주)청정화푸드,360,180.0
육류,8809542600110,식자대감 불봉우리 닭발,가보식품,360,180.0
김치,8809032390033,열무물김치,농업회사법인 풍미식품(주),60,180.0
육류,8809270728148,왕족발 슬라이스,(주)해드림에프에스,40,180.0
육류,8809358840328,미트라인돌돌양념갈비,(주)미트라인,10,180.0
소시지,8801047571032,동원 오븐&통그릴 블랙퍼스트 소시지,(주)동원F&B,45,7.0
김치,8809422540260,김경숙 밴댕이순무김치,농업회사법인 순무명가,60,180.0
김치,8803601000378,백김치,(주)한성식품서산지점,28,180.0
육류,8809468980150,미쁘미뼈없는양념닭발,유한회사 믿음식품,360,180.0
우유,8801121101049,매일우유,매일유업(주) 광주공장,210,45.0
어묵,8801066051263,쉐프덴 매콤어전,(주)사조대림,13,3.0
육류,8809377820462,머리에땀나는 직화구이닭발(유뼈),(주)티아이지푸드,45,180.0
육류,8809399360861,땡초 辛화로 무뼈닭발,야참푸드,60,180.0
햄,8801123880126,텐더로인,롯데제과(주) 김천공장,80,7.0
김치,8809508390017,배추김치,빛고을김치 영농조합법인,120,180.0
육류,8809365660681,수제왕치킨까스,(주)야미식스,360,180.0
햄,8809222051874,셀덕 오리훈제 슬라이스 (비살균 제품),(주)모란식품,30,7.0
김치,8809357640554,칼슘듬뿍 홍화장아찌,농업회사법인(주) 자연식품,360,180.0
육류,8809343351075,LA돼지갈비,(주)고향미트,15,180.0
육류,8809363791035,춘천 참맛 닭갈비 / 냉장,상호 주식회사,14,180.0
김치,8803601010100,맛김치,(주)한성식품,60,180.0
햄,8809385946598,참! 건강한 흑후추 가슴살,(주)참프레,30,7.0
소시지,8809532110070,델리후랑크소시지,(주)스위스식품,30,7.0
우유,8806371302154,숲속에 목장우유,(주) 푸르밀,15,45.0
육류,8809465330163,양념근위,(주)청우냉동식품,330,180.0
우유,8801069226279,맛있는 우유 GT 깔끔한 저지방,남양유업 주식회사 천안신공장,15,45.0
김치,8809520620017,박미곤의 항아리 포기김치,DMG푸드,365,180.0
육류,8809465285678,닭스터 양념닭근위,주식회사 케이에스에프엔지,270,180.0
육류,8809468980129,미쁘미춘천양념닭갈비,유한회사 믿음식품,10,180.0
소시지,8809013406296,크나커,에쓰푸드(주),40,7.0
김치,8803601001726,열무김치,(주)한성식품,28,180.0
소시지,8809013403400,컨츄리소시지,에쓰푸드(주),60,7.0
육류,8809377820837,머땀 매콤 닭갈비 직화구이,(주)티아이지푸드,365,180.0
육류,8809452090230,북성로연탄불고기,다미설,365,180.0
육류,8809420430266,고추장돼지주물럭,㈜오에스푸드,15,180.0
묵,8802519313396,우무벌크,주식회사 동양식품,3,0.0
육류,8809378341416,바베큐닭갈비,(주)야미식스,360,180.0
치즈,8809444768963,몽블랑 자연치즈,(주)씨엔피푸드,90,70.0
김치,8801047590132,양반맛김치(KT),(주)동원F&B,45,180.0
육류,8809504490032,족편육,(주)왕실,60,180.0
육류,8809343350511,화통불고기용,(주)고향미트,15,180.0
어묵,8809009660206,부산생어묵(알알이),어가원식품,10,3.0
우유,8801121113530,멸균우유,매일유업(주) 광주공장,180,45.0
김치,8809508390338,총각김치,빛고을김치 영농조합법인,120,180.0
햄,8809007850258,훈제허브닭가슴살,(주)체리부로 수옥지점,70,7.0
어묵,8809492420158,무궁화 부산어묵,무궁화푸드,9,3.0
육류,8809506540032,오븐돼지막창,윤도현막창,60,180.0
김치,8809422540253,김경숙 밴댕이순무김치,농업회사법인 순무명가,60,180.0
햄,8809013404643,숙성로인,에쓰푸드(주)음성공장,40,7.0
어묵,8809013470112,튀김생선어묵(냉동),(주)부산가덕도식품,720,3.0
소시지,8801074250191,켄터키후랑크,한성기업(주)김해공장,55,7.0
육류,8809515480008,옹달샘 양념닭발,진주식품,360,180.0
햄,8809287928883,유황먹인오리 훈제 슬라이스,(주)삼호유황오리,40,7.0
햄,8809180490432,유황먹인오리훈제바베큐슬라이스,(주)덕스 농업회사법인,40,7.0
묵,8809137260040,메밀묵,하나식품,4,0.0
소시지,8809164130064,달달콘소시지,(주)구스베,30,7.0
육류,8809419950584,직화 불 막창,하성에프앤비,365,180.0
어묵,8809028890592,만두품은어묵(매운맛),(주)서울식품,365,3.0
김치,8809508390154,배추김치,빛고을김치 영농조합법인,120,180.0
육류,8809363791080,숯불구이칼집 / 냉동,상호 주식회사,365,180.0
육류,8809269890023,봉화한약우곰탕,영농조합법인 여러분팜스,120,180.0
육류,8809430220499,맵단돼지불고기,(주)케이프라이드,10,180.0
묵,8808397101018,해초곤약국수,(주)대신물산,180,0.0
육류,8809353800037,양념돼지갈비,고기나라,20,180.0
김치,8809422540376,김경숙 순무김치,농업회사법인 순무명가,60,180.0
소시지,8809430220413,후랑크소시지,(주)케이프라이드,360,7.0
소시지,8801074256063,스모크비엔나,한성기업(주)김해공장,40,7.0
육류,8809358840199,미트라인양념왕갈비,(주)미트라인,12,180.0
육류,8809363791158,숯불구이 고추장 칼집 / 냉장,상호 주식회사,15,180.0
햄,8809222051652,셀덕 오리훈제 슬라이스 (비살균 제품),(주)모란식품,30,7.0
김치,8809389513581,명품 수미궁김치,(주)솔밭골푸드,90,180.0
육류,8809358840182,미트라인양념왕갈비,(주)미트라인,12,180.0
김치,8809414460415,씨백김치,평창꽃순이,180,180.0
육류,8809475040045,전철우 수제포돼지갈비,(주)하늘단 성서지점,360,180.0
우유,8801115135760,속편한 우유 저지방,서울우유협동조합 양주공장,12,45.0
우유,8809471620043,벧엘목장 유기농 우유,벧엘영농조합법인,15,45.0
김치,8809334526154,(상)동치미,농업회사법인주식회사담채원,110,180.0
어묵,8803453000106,선우어묵 오징어맛,(주)새난,12,3.0
육류,8809468980068,미쁘미춘천양념닭갈비,유한회사 믿음식품,10,180.0
어묵,8803453000120,선우어묵 동글이C,(주)새난,360,3.0
햄,8809517770145,슈바이네학센(가열제품),만나푸드,45,7.0
육류,8809520390064,미운오리불고기,주식회사 푸드팩토리,270,180.0
육류,8809497940132,크리스피치킨,(주)미드미푸드,360,180.0
소시지,8801123309597,의성마늘 빅그릴비엔나,롯데제과(주),30,7.0
햄,8809222051690,셀덕 오리훈제 슬라이스 (비살균 제품),(주)모란식품,30,7.0
육류,8809358841417,미트라인양념순살포크,(주)미트라인,12,180.0
묵,8802528800122,도토리묵,농민식품,15,0.0
치즈,8809338740020,명품 후레쉬 모짜렐라치즈,(주)장안유업,60,70.0
육류,8809377820967,SF.닭발,(주)티아이지푸드,360,180.0
햄,8809536010062,흑마늘 오리 바베큐 훈제,농업회사법인 주식회사 디오푸드,50,7.0
육류,8809343350528,돼지양념갈비,(주)고향미트,15,180.0
햄,8809251331817,스모크닭다리,(주)마니커에프앤지(F&G),60,7.0
베이컨,8809013402717,베이컨,에쓰푸드(주)음성공장,40,0.0
육류,8809343351389,무화과 왕구이용,(주)고향미트,15,180.0
김치,8803601001733,한성열무김치,(주)한성식품,45,180.0
김치,8803601010155,맛김치,(주)한성식품,60,180.0
햄,8809492080147,아침닭가슴살(훈제),아침 주식회사,365,7.0
김치,8806136888084,삼채김치,(주)한국지네틱바이오팜,30,180.0
어묵,8803453500439,선우어묵 모두미,(주)새난,12,3.0
소시지,8809013403363,롱소시지,에쓰푸드(주),40,7.0
어묵,8801066053427,더 쫄깃한 어묵,(주)사조대림,13,3.0
소시지,8809013409037,비프핫도그,에쓰푸드(주),40,7.0
우유,8801069173597,남양 맛있는 우유 GT,남양유업(주) 경주공장,15,45.0
햄,8803006501029,스모크 치킨,(주)마니커에프앤지(F&G),40,7.0
육류,8809512550179,양념닭발화천辛,농업회사법인 주식회사 화천,30,180.0
육류,8809528950024,착한편육,은성푸드,35,180.0
김치,8803601000453,한성오이소박이,(주)한성식품,28,180.0
우유,8801207105473,파스퇴르 바른목장 우유(팩),롯데제과(주)파스퇴르공장,80,45.0
육류,8809353800068,양념돼지갈비,고기나라,20,180.0
소시지,8809373560041,네츄럴소시지 청양고추맛,돼지문화원,300,7.0
소시지,8801047573081,한그릇뚝딱 소세지,(주)동원F&B,90,7.0
육류,8809452090162,매운갈매기살,다미설,30,180.0
육류,8809337220295,서라벌 화끈한양념막창,(주)서라벌푸드,360,180.0
육류,8809343351563,아로니아 소불고기용,(주)고향미트,15,180.0
햄,8809013405008,숙성로인,에쓰푸드(주)음성공장,40,7.0
치즈,8809352490031,두마리목장생모짜렐라치즈,무지개영농조합법인,30,70.0
