제품명,바코드,유통기한,소분류,제조사
엔듀이,8809013406234.0,40,소시지,에쓰푸드홀딩스 주식회사
오리고추장불고기,8809411050510.0,15,육류,주식회사 우보식품
제주흑돼지 원너,8809374860027.0,40,소시지,농업회사법인주식회사제주돈육수출센터
맛(썰은)김치,8803104233136.0,90,김치,한국농협김치조합공동사업법인충북지사
우리콩순두부,8803150000072.0,16,두부,농업회사법인 한그루 2공장(주)
갓김치,8809060703362.0,150,김치,(주)늘푸른
홍삼유황오리 훈제바베큐,8809353600019.0,45,햄,(주)산호푸드시스템
면곤약,8808397010006.0,180,묵,(주)대신물산
알타리김치,8803601000330.0,28,김치,(주)한성식품서산지점
비프스틱,8809013406425.0,90,소시지,에쓰푸드홀딩스 주식회사
돼지 양념 껍데기,8809411051210.0,15,육류,주식회사 우보식품
흑마늘 비엔나,8801077613108.0,35,육류,(주)진주햄
수라상 포기김치,8801766011123.0,30,김치,(주)삼진 지.에프
수제모듬소시지4,8809090817237.0,7,소시지,신선미푸드
강성원우유,8803141000036.0,8,우유,(주)강성원우유
부산어묵 백목련,8809028890325.0,365,어묵,(주)서울식품
대림선요리조리어묵,8801066150287.0,12,어묵,(주)사조대림
살라미스틱,8809013406678.0,90,소시지,에쓰푸드홀딩스 주식회사
닭새송이,8809227780120.0,360,육류,(주)토담푸드시스템
게맛살큰잔치,8801066500273.0,40,어묵,(주)사조대림
아워홈 야채 만두 속 어묵,8809331508115.0,13,어묵,(주)아워홈
로인햄,8807022000436.0,45,햄,주식회사 태림에프웰
선어묵야채맛듬뿍(엄지),8801066202016.0,12,어묵,(주)사조대림
비락우유,8801189111134.0,15,우유,(주)비락 대구공장
이탈리안소시지,8809013406197.0,40,소시지,에쓰푸드홀딩스 주식회사
마당쇠,8801066300101.0,12,어묵,(주)사조대림
포기김치,8809357600015.0,90,김치,주식회사 진미푸드지점
훈제 즉석 돼지 생막창(과일숙성),8809396130030.0,365,육류,달구벌식품
오리고추장불고기,8809411051364.0,15,육류,주식회사 우보식품
백김치,8802127100890.0,60,김치,서안동농협풍산김치공장
호주산 슈레드 모짜렐라,8809146280015.0,180,치즈,(주)네오스푸드시스템
화이트소시지,8802266006800.0,40,소시지,(주)오뗄
에멘탈,2976713025525.0,360,치즈,주식회사 이딸꼬레
바질맛치킨스테이크,8809013401826.0,40,햄,에쓰푸드홀딩스 주식회사
잡채말이,8809029030454.0,720,어묵,삼진식품(주)
국수곤약,8802519313303.0,180,묵,주식회사 동양식품
야채맛소시지,8809013403844.0,40,소시지,에쓰푸드홀딩스 주식회사
담채원 백김치,8809334527977.0,60,김치,농업회사법인주식회사담채원
순대국거리,8809090570170.0,40,육류,대성식품
소양념구이,8809253770355.0,360,육류,햇잎푸드 제1공장
페퍼잭,8809013406173.0,30,소시지,에쓰푸드홀딩스 주식회사
포기김치,8803104133337.0,90,김치,한국농협김치조합공동사업법인충북지사
서진 양념닭갈비,8809412450012.0,8,육류,서진식품
삼겹살훈제바베큐,8809226810033.0,45,햄,(주)씨지엠
언양식소불고기,8809152413056.0,10,육류,(주)미트뱅크
진종합 230,8801066100015.0,13,어묵,(주)사조대림
덴마크 무항생제우유,8801122001003.0,9,우유,(주)동원F&B(에프앤비) 정읍공장
종말이배추김치,8809359980054.0,30,김치,종말이푸드
순두부,8809007701215.0,1,두부,제일식품
구운닭가슴살,8809365660032.0,30,햄,(주)야미식스
참지음 바베큐맛 후랑크,8809354580037.0,40,소시지,농업회사법인 행복주식회사
치즈롱소시지,8809013403325.0,60,소시지,에쓰푸드(주)
오리양념불고기,8809062256040.0,5,육류,참마음식품
담채원 열무김치,8809334527243.0,90,김치,농업회사법인주식회사담채원
부산어묵 백두장사,8801066301184.0,13,어묵,(주)사조대림
한성포기김치,8803601100108.0,30,김치,(주)한성식품서산지점
맛나왕족발,8804765000051.0,90,육류,해성축산
유기농깍두기,8809334529124.0,90,김치,농업회사법인주식회사담채원
홍삼연잎오리완포,8809013401376.0,30,햄,에쓰푸드홀딩스 주식회사
달콤한 무뼈불닭발,8809321270060.0,365,육류,(주)정미푸드
돼지 양념 껍데기,8809411050343.0,15,육류,주식회사 우보식품
도토리묵,8809396940004.0,5,묵,그린식품
돼지고추장불고기,8809411051005.0,15,육류,주식회사 우보식품
비프스틱,8809013406418.0,90,소시지,에쓰푸드홀딩스 주식회사
포크바베큐,8809013404650.0,40,햄,에쓰푸드(주)
훈제돈족,8809021759148.0,60,햄,(주)이푸드
담채원 포기김치,8809334527069.0,365,김치,농업회사법인주식회사담채원
흰여울양념돈주물럭,8809360450379.0,20,육류,흰여울푸드(주)
바다속콩이야기 두부,8809051713035.0,15,두부,설악식품
우무묵,8809146731432.0,15,묵,(주)한울타리식품
야채촌김밥용어묵,8801066106048.0,10,어묵,(주)사조대림
수라상 물열무김치,8801766080952.0,30,김치,(주)삼진 지.에프
이가네 포기김치,8809033280012.0,365,김치,(주)유앤아이푸드
깍두기,8803601001863.0,60,김치,(주)한성식품서산지점
손수불닭발구이,8809331500829.0,7,육류,주식회사 아워홈
하루에한모 삼색두부(국산),8809352640344.0,1,두부,다원푸드
닭산적,8809227780472.0,360,육류,(주)토담푸드시스템
튀긴새참바,8801066014570.0,7,어묵,(주)사조대림
류도현황오리 훈제바베큐,8809230650045.0,40,햄,농업회사법인 (주)올참
돼지양념불고기,8809411050060.0,15,육류,주식회사 우보식품
소양념불고기,8809411050381.0,15,육류,주식회사 우보식품
생크림,8801155469917.0,9,육류,(주)동원F&B 수원공장
New베이컨,8809153712950.0,20,베이컨,농업회사법인(주)청미원식품
양념닭주물럭,8809355140063.0,10,육류,(주)더고기
바질맛치킨스테이크,8809013401222.0,40,햄,에쓰푸드홀딩스 주식회사
채담뜰소막창구이,8809417710043.0,7,육류,(주)한수식품
참프레 텐더스틱,8809385943221.0,270,육류,(주)참프레
어묵,8803562001049.0,10,어묵,(주)부산식품
매운돼지껍데기,8809399880031.0,360,육류,산과들에프엔씨
비프스틱,8809013406449.0,90,소시지,에쓰푸드홀딩스 주식회사
알타리김치,8803601000323.0,28,김치,(주)한성식품서산지점
담채원 포기김치,8809334527014.0,365,김치,농업회사법인주식회사담채원
한가득,8809183070563.0,15,어묵,해맑은 식품(주)
해물 즐겨바,8801066310353.0,35,어묵,(주)사조대림
존쿡스모크브랏,8809013406531.0,0,소시지,에쓰푸드홀딩스 주식회사
머리고기,8809090570149.0,40,육류,대성식품
부산어묵 마당놀이,8801066301221.0,13,어묵,(주)사조대림
통미니족,8809288515044.0,60,육류,주식회사 최강육수마누
한돈주물럭,8809347801484.0,15,육류,농업회사법인 꿀맛나는세상 주식회사
LA 북창동 연두부,8809143810208.0,15,두부,(주)금녕에프앤씨
담채원 포기김치,8809334527083.0,365,김치,농업회사법인주식회사담채원
게맛살큰잔치,8801066500198.0,40,어묵,(주)사조대림
훈제오리슬라이스,8809309820522.0,40,우유,주식회사 청산식품
하림 밥에 비벼먹는 닭고기 볶음,8801492363282.0,1825,육류,(주)하림
게맛살한가족,8801066490000.0,40,어묵,(주)사조대림
하림화이트소시지,8801492362100.0,40,소시지,(주)하림
이태리안피자치즈,8801155636111.0,90,치즈,(주)동원F&B 수원공장
진모듬소시지,8809383600065.0,15,소시지,(주)미소담은
유기농깍두기,8809334529100.0,90,김치,농업회사법인주식회사담채원
청미원맛있는고추장 불고기S,8809153712356.0,10,육류,농업회사법인(주)청미원식품
토종콩두부,8809001091077.0,14,두부,함씨네토종콩식품
살코기후랑크,8809406030145.0,30,소시지,농업회사법인 킹스테이블(주)
무뼈족발슬라이스,8809245290144.0,60,육류,정일품
꿀맛칼집,8809347800081.0,15,육류,농업회사법인 꿀맛나는세상 주식회사
스모크치킨,8801066102910.0,40,햄,(주)사조대림
도토리묵,8809270560014.0,5,묵,하나식품
수제형맛살말이,8801066113749.0,10,어묵,(주)사조대림
오리수제소시지,8809343660023.0,60,소시지,덕앤푸드(주)
훈제칠면조,8809021753016.0,60,햄,(주)이푸드
알타리김치,8809356100059.0,60,김치,농업회사법인(주)운림가
예당두부(부침용),8801491400032.0,19,두부,(주)두솔
숙성로인,8809013404643.0,40,햄,에쓰푸드홀딩스 주식회사
양념돼지불고기,8809321300217.0,10,육류,(주)윤덕
참나무훈연삼겹살바베큐,8803051000867.0,50,햄,(주)에이스푸드
아빠뽕편육,8809388180005.0,45,육류,농업회사법인 유한회사 뽕의도리
다솔훈제오리바베큐,8809261230117.0,45,햄,다솔청정식품
홍삼유황오리 훈제바베큐,8809353600149.0,45,햄,(주)산호푸드시스템
돼지멍석구이,8809408310009.0,7,육류,MJ FOOD
매실닭가슴살훈제,8801492359070.0,40,햄,(주)하림
청도청정두부,8809039530081.0,15,두부,주식회사 장원식품
켄터키후랑크,8801633203422.0,40,소시지,(주)소디프비앤에프
유기농깍두기,8809334529186.0,90,김치,농업회사법인주식회사담채원
서울우유 바리스타즈 밀크,8801115114482.0,12,우유,서울우유협동조합 양주공장
오향족발,8802112000334.0,40,육류,(주)중앙식품
볶음김치,8801316121913.0,60,김치,농업회사법인 주식회사 한울
하루에한모 삼색두부(수입),8809352640399.0,1,두부,다원푸드
씨크릿,8801066101809.0,40,어묵,(주)사조대림
항아리 김치,8809104430025.0,90,김치,황후의 식품
서진 오리불고기,8809412450005.0,365,육류,서진식품
자갈치부산어묵,8807780013105.0,13,어묵,(주)하나식품
델리모듬소시지,8801227121095.0,270,소시지,(주)사조오양 평택공장
우리콩두부,8803150200168.0,16,두부,농업회사법인 한그루 2공장(주)
도토리묵,8809130210011.0,20,묵,(주)수암
맛기픈돼지양념구이,8809343350474.0,0,육류,(주)고향미트
달콤한 불닭발,8809321270411.0,365,육류,(주)정미푸드
돼지양념불고기,8809411050954.0,15,육류,주식회사 우보식품
청포묵,8809130210219.0,20,묵,(주)수암
더 고소하고 단단한두부,8805893200016.0,25,두부,(주)푸른촌
꿀맛나는소불고기,8809347801408.0,15,육류,농업회사법인 꿀맛나는세상 주식회사
버드내 오리윙 훈제,8809310770076.0,40,햄,농업회사법인 버드내(주)
한성포기김치,8803601010032.0,30,김치,(주)한성식품서산지점
무뼈양념닭발,8809411051531.0,15,육류,주식회사 우보식품
튜브초당연두부,8809009551283.0,17,두부,강릉초당두부
꿀맛돼지찜갈비,8809347800241.0,15,육류,농업회사법인 꿀맛나는세상 주식회사
꿀맛돼지찜갈비,8809347800265.0,15,육류,농업회사법인 꿀맛나는세상 주식회사
양반포기김치,8801047585206.0,45,김치,(주)동원F&B
매운불닭발,8809354310108.0,15,육류,장안푸드
간장오리 양념불고기,8809408680508.0,110,육류,유원푸드
한성포기김치,8803601010025.0,30,김치,(주)한성식품서산지점
포기김치 으뜸,8809294051017.0,730,김치,들빛식품
부산어묵 마당놀이,8801066151277.0,13,어묵,(주)사조대림
월매네깻묵,8809050810254.0,30,묵,노고단식품
한돈주물럭,8809347801064.0,15,육류,농업회사법인 꿀맛나는세상 주식회사
숙성로인,8809013402236.0,40,햄,에쓰푸드홀딩스 주식회사
미스월드,8801066301320.0,10,어묵,(주)사조대림
깍두기,8809417950135.0,30,김치,영농조합법인 성진
어묵전골,8801066101746.0,13,어묵,(주)사조대림
이태리안피자치즈(쉬레드),8801155644413.0,90,치즈,(주)동원F&B 수원공장
돌산갓김치,8803847000668.0,90,김치,(주)나래식품
성이시돌목장 저지방우유,8804434001242.0,11,우유,농업회사법인 주식회사 제주우유
알타리김치,8803601000316.0,28,김치,(주)한성식품서산지점
바다속콩이야기 두부,8809051713011.0,15,두부,설악식품
깍두기,8801024054152.0,45,김치,대상(주)거창공장
이마트 부산사각어묵,8801066100442.0,13,어묵,(주)사조대림
제주의 아침 내츄럴우유,8804434003031.0,16,우유,농업회사법인 주식회사 제주우유
돼지양념불고기,8809411050916.0,15,육류,주식회사 우보식품
산천어어묵,8807780880776.0,360,어묵,(주)하나식품
담채원 깍두기,8809334527366.0,90,김치,농업회사법인주식회사담채원
한성백김치,8803601000361.0,28,김치,(주)한성식품서산지점
현미 순두부,8809404460005.0,12,두부,(주)국민푸드
진미 오이소박이,8809357600350.0,60,김치,주식회사 진미푸드지점
도토리묵밥,8809146732101.0,15,묵,(주)한울타리식품
무뼈양념닭발,8809411051593.0,15,육류,주식회사 우보식품
흰여울양념돈주물럭,8809360450157.0,20,육류,흰여울푸드(주)
돼지왕구이용,8809343350160.0,15,육류,(주)고향미트
씨크릿,8801066512023.0,40,어묵,(주)사조대림
담채원 깍두기,8809334527304.0,90,김치,농업회사법인주식회사담채원
부드러운맛두부,8809363040010.0,15,두부,대광식품
버섯어묵,8801066150522.0,10,어묵,(주)사조대림
올방개묵,8809146731807.0,15,묵,(주)한울타리식품
위쉬본핫스파이스봉,8801492358684.0,270,육류,(주)하림
동원 싱싱맛살,8801047513131.0,50,어묵,(주)동원F＆B
산들다온 홍삼삼겹,8809363090015.0,180,육류,(주)대명에프에스
쉬레드피자치즈,8801155636012.0,90,치즈,(주)동원F&B 수원공장
부산어묵목련,8809028890011.0,13,어묵,(주)서울식품
깻잎김치,8802127100296.0,90,김치,서안동농협풍산김치공장
손수부드러운훈제함초닭가슴살,8809257828809.0,30,육류,주식회사 아워홈
고추장주물럭,8809408310023.0,7,육류,MJ FOOD
무뼈양념닭발,8809411051616.0,15,육류,주식회사 우보식품
판두부,8809268230011.0,1,두부,봄내식품
또또,8801066200715.0,10,어묵,(주)사조대림
담채원 총각김치,8809334527106.0,90,김치,농업회사법인주식회사담채원
총각김치,8803104002510.0,90,김치,한국농협김치조합공동사업법인충북지사
부산어묵목련,8809028892152.0,13,어묵,(주)서울식품
상보어묵,8803573312028.0,13,어묵,(주)부산식품
대림선블루오션게맛살,8801066513006.0,40,어묵,(주)사조대림
오리불고기,8809226811023.0,10,육류,(주)씨지엠
곰곰 소곱창,8809347801323.0,360,육류,농업회사법인 꿀맛나는세상 주식회사
산천어어묵,8807780880790.0,360,어묵,(주)하나식품
김밥 愛(애) 쏘옥,8801066513204.0,40,어묵,(주)사조대림
서울우유,8801115115154.0,12,우유,서울우유협동조합 안산공장
야채촌우엉어묵,8801066106444.0,12,어묵,(주)사조대림
맛기픈소갈비찜,8809343350443.0,15,육류,(주)고향미트
포기김치,8803856000314.0,300,김치,(주)진보식품
보쌈김치,8809215440036.0,180,김치,성가정종합식품 (주)
명품돈.삽겹바베큐,8809353600187.0,45,햄,(주)산호푸드시스템
신선하고 맛좋은 우유 저지방,8806371302772.0,15,우유,(주) 푸르밀
올드스모키,8809013406180.0,30,소시지,에쓰푸드홀딩스 주식회사
훈제닭다리,8809391190060.0,60,육류,참 프레시 미트
한돈주물럭,8809347801033.0,15,육류,농업회사법인 꿀맛나는세상 주식회사
양념숯불맛돼지구이,8809355140018.0,10,육류,(주)더고기
바베큐 보쌈,8809355080055.0,360,베이컨,(주)토담
고추장돼지주물럭,8809383600324.0,13,육류,(주)미소담은
맛기픈주물럭용,8809343350429.0,15,육류,(주)고향미트
총각김치,8801047585381.0,28,김치,(주)동원F&B
맛김치,8801513110017.0,90,김치,선도농협김치가공공장
양념깻잎,8809326900337.0,60,김치,농업회사법인주식회사해미래
종가집 어린이 한입 배추김치,8801024054145.0,45,김치,대상(주)거창공장
하루에한모수제두부,8809352640023.0,1,두부,다원푸드
대감댁 장자 슬라이스족발,8809037240067.0,60,햄,한양제너럴푸드
깍두기,8809357600251.0,60,김치,주식회사 진미푸드지점
열우물 연보쌈무,8809400550083.0,30,김치,농업회사법인 이정 주식회사
도들샘포기김치,8801926205300.0,60,김치,(주)도들샘
마포갈매기 갈비맛 양념목살,8809377760102.0,360,육류,주식회사 디딤
햇잎구이,8809253770362.0,360,육류,햇잎푸드 제1공장
열우물 연동치미,8809400550069.0,360,김치,농업회사법인 이정 주식회사
몽,8809183070150.0,15,어묵,해맑은 식품(주)
홍삼연잎오리,8809013401383.0,30,햄,에쓰푸드홀딩스 주식회사
부산어묵 상천,8803556815027.0,15,어묵,(주)사조오양양산공장
돼지양념갈비,8809411051081.0,15,육류,주식회사 우보식품
참지음 치즈맛 후랑크,8809354580143.0,40,소시지,농업회사법인 행복주식회사
제육,8809202560075.0,270,육류,세연식품
빙그레 굿모닝 우유,8801104212694.0,16,우유,(주)빙그레
아리랑닭고기,8809347801224.0,15,육류,농업회사법인 꿀맛나는세상 주식회사
후레쉬베이컨,8809021759186.0,365,베이컨,(주)이푸드
훈제돈족,8809021759155.0,60,햄,(주)이푸드
돼지양념갈비,8809411050237.0,15,육류,주식회사 우보식품
돼지양념갈비,8809411051166.0,15,육류,주식회사 우보식품
참프레 텐더스틱,8809385943580.0,270,육류,(주)참프레
홍천양념닭갈비,8809393160016.0,10,육류,홍천제일식품
선어묵야채맛듬뿍(동글이),8801066202009.0,12,어묵,(주)사조대림
돈트리 양념소불고기,8809375020109.0,300,육류,피그빌
아름찬나박김치,8803104000080.0,28,김치,한국농협김치조합공동사업법인충북지사
매운맛 포기김치,8801024057399.0,60,김치,대상(주)횡성공장
달콤한 무뼈불닭발,8809321270268.0,365,육류,(주)정미푸드
동원 싱싱맛살,8801047513285.0,50,어묵,(주)동원F＆B
양념뼈없는닭발,8809152414046.0,10,육류,(주)미트뱅크
돈트리 양념돼지불고기,8809375020116.0,300,육류,피그빌
무뼈양념닭발,8809138750656.0,360,육류,(주)제이엠푸드
돼지양념불고기,8809411050947.0,15,육류,주식회사 우보식품
무뼈양념닭발,8809411051548.0,15,육류,주식회사 우보식품
찐어묵란,8801066101333.0,25,어묵,(주)사조대림
코파,8809013407125.0,360,햄,에쓰푸드(주)
매운 불족발,8809245290090.0,270,육류,주식회사 정일품
한성열무김치,8803601001726.0,45,김치,(주)한성식품서산지점
서울우유,8801115114154.0,12,우유,서울우유협동조합 안산공장
돼지껍데기매운맛,8809381490026.0,180,육류,제이원푸드
3651등급우유,8801115114383.0,12,우유,서울우유협동조합 안산공장
돼지왕구이용,8809343350153.0,15,육류,(주)고향미트
돼지양념불고기,8809411050022.0,15,육류,주식회사 우보식품
백김치,8801024180615.0,45,김치,대상(주)거창공장
참지음 화이트 후랑크,8809354580020.0,40,소시지,농업회사법인 행복주식회사
김밥 愛(애) 쏘옥,8801066513266.0,40,어묵,(주)사조대림
태양내장,8809353230100.0,15,육류,(주)부경축산
더안심 순살돈가스 반제품,8809369670303.0,7,육류,(주)우와돈
돔어묵종합,8801066150027.0,12,어묵,(주)사조대림
도토리묵,8809200040029.0,15,묵,참나무식품
두마리목장 숙성치즈의 고향 임실산치즈,8809352491816.0,365,치즈,무지개영농조합법인
유황먹인오리훈제바베큐,8809404180002.0,45,햄,(주)정다운 신성푸드
즉석삼계탕 간편한 반마리,8801492360977.0,365,육류,(주)하림
꿀맛돼지찜갈비,8809347800258.0,15,육류,농업회사법인 꿀맛나는세상 주식회사
수라상 총각김치,8801766012137.0,30,김치,(주)삼진 지.에프
돼지고추장불고기,8809411050121.0,15,육류,주식회사 우보식품
담채원 총각김치,8809334527120.0,90,김치,농업회사법인주식회사담채원
참향원 등심바베큐,8809357220312.0,40,햄,(주)엘리트
맛김치,8809051400126.0,180,김치,천북농협김치가공공장
구운어묵,8803214000710.0,11,어묵,영진식품
감칠배기김치,8801766010232.0,45,김치,(주)삼진 지.에프
훈제 즉석 소 막창(과일숙성),8809396130016.0,365,육류,달구벌식품
동원 싱싱맛살,8801047513445.0,50,어묵,(주)동원F＆B
유기농자연그대로우유,8804434001297.0,14,우유,농업회사법인 주식회사 제주우유
담채원 총각김치,8809334527151.0,90,김치,농업회사법인주식회사담채원
깍두기,8809357600282.0,60,김치,주식회사 진미푸드지점
목장의 신선함이 살아있는 우유,8801115114321.0,12,우유,서울우유협동조합 안산공장
담채원 석박지,8809334527489.0,90,김치,농업회사법인주식회사담채원
담채원 열무김치,8809334527250.0,90,김치,농업회사법인주식회사담채원
훈제치킨,8801492359339.0,40,햄,(주)하림
백련초바베큐돼지막창,8809366354046.0,360,육류,에스티푸드
죽염족발,8809407550048.0,60,육류,국민푸드
도토리묵,8809146731906.0,15,묵,(주)한울타리식품
하루에한모수제두부,8809352640078.0,1,두부,다원푸드
포크소시지,8803784000189.0,40,소시지,농업회사법인 (주)대경햄
이탈리안살라미,8809013403974.0,180,소시지,에쓰푸드홀딩스 주식회사
도토리묵,8805554123500.0,18,묵,부광식품
열무김치,8809356100066.0,80,김치,농업회사법인(주)운림가
올방개묵,8809130210035.0,15,묵,(주)수암
매운양념 닭갈비,8809313400017.0,6,육류,(주)엠케이푸드
하루에한모맛두부,8809352640320.0,1,두부,다원푸드
부산어묵,8809126800028.0,15,어묵,주식회사 지엠푸드
LA북창동 순두부,8809143810222.0,15,두부,(주)금녕에프앤씨
한돈주물럭,8809347801057.0,15,육류,농업회사법인 꿀맛나는세상 주식회사
양념숯불맛돼지구이,8809355140186.0,10,육류,(주)더고기
포기김치,8809357600091.0,90,김치,주식회사 진미푸드지점
잡채어묵,8804669200250.0,13,어묵,부산대원식품주식회사
보쌈김치,8809215440227.0,180,김치,성가정종합식품 (주)
도토리묵밥,8809146732019.0,15,묵,(주)한울타리식품
황태배추김치,8803760000110.0,60,김치,신동식품(주)
무말랭이,8809423990088.0,30,김치,믿음식품 주식회사
월매네도토리묵,8809050810018.0,7,묵,노고단식품
열무김치,8803856000345.0,60,김치,(주)진보식품
태림튀김어묵,8807022000641.0,120,어묵,(주)태림에프웰
맛김치,8803601001160.0,60,김치,(주)한성식품서산지점
열우물 연동치미,8809400550113.0,360,김치,농업회사법인 이정 주식회사
유기농 찢어먹는치즈,8809394860014.0,30,치즈,주식회사 제주유기농
100% 국내산 브로콜리(Broccoli)를 넣어 만든 어묵,8801066150744.0,13,어묵,(주)사조대림
훈제오리바베큐,8809389820160.0,45,햄,영농조합법인 비엔푸드
페페로니 스틱,8809013406395.0,180,소시지,에쓰푸드홀딩스 주식회사
편육,8809245290182.0,60,육류,주식회사 정일품
크라비아,8801066511118.0,40,어묵,(주)사조대림
판두부,8809268230127.0,1,두부,봄내식품
흰여울 양념 매콤 주물럭,8809360450164.0,20,육류,흰여울푸드(주)
요리 부산어묵 사각2,8801066151192.0,13,어묵,(주)사조대림
큐슈 사츠마아게 치즈어묵,8801066310223.0,35,어묵,(주)사조대림
대신곤약묵,8808397006047.0,180,묵,(주)대신물산
돼지고추장불고기,8809411050138.0,15,육류,주식회사 우보식품
깍두기,8809357600275.0,60,김치,주식회사 진미푸드지점
한돈주물럭,8809347801071.0,15,육류,농업회사법인 꿀맛나는세상 주식회사
월매네청포묵,8809050810063.0,30,묵,노고단식품
월매네도토리묵,8809050810100.0,30,묵,노고단식품
부산을숙도어묵,8809025430036.0,11,어묵,(주)부산해정식품
토종콩두부,8809001091336.0,14,두부,함씨네토종콩식품
목장의 신선함이 살아있는 우유,8801115114260.0,12,우유,서울우유협동조합 안산공장
한가네닭발편육,8809370580011.0,2580,육류,상주한가네닭발편육
참좋은 연두부,8809031552036.0,0,두부,(주)맑은물에
하림비엔나,8801492630810.0,30,소시지,(주)하림
햇잎스테이크,8809253770232.0,60,육류,햇잎푸드 제1공장
돈마니아,8809308930017.0,30,육류,(주)광주식품 농업회사법인
씨크릿 후레쉬,8801066511323.0,270,어묵,(주)사조대림
맛김치,8804913000056.0,90,김치,농업회사법인유한회사일품김치
삼겹바베큐,8809013409082.0,40,햄,에쓰푸드(주)
현미두부,8809404460012.0,14,두부,(주)국민푸드
숯불구이맛 비엔나,8801066018044.0,35,소시지,(주)사조대림
양념갈비,8801007571119.0,90,육류,씨제이제일제당(주)
이푸드훈제칠면조,8809021759056.0,60,햄,(주)이푸드
잡채어묵,8801066203037.0,25,어묵,(주)사조대림
수라상 맛김치,8801766080914.0,30,김치,(주)삼진 지.에프
한돈주물럭,8809347801026.0,15,육류,농업회사법인 꿀맛나는세상 주식회사
킬바사,8809013406227.0,40,소시지,에쓰푸드홀딩스 주식회사
대림선요리조리어묵,8801066150294.0,12,어묵,(주)사조대림
선우어묵 백매,8803453500651.0,12,어묵,(주)새난
포기김치,8809357600084.0,90,김치,주식회사 진미푸드지점
산천어어묵,8807780880783.0,360,어묵,(주)하나식품
필리프용 맛김치,8801047587255.0,360,김치,(주)동원F&B
더안심 순살돈가스 반제품,8809369670426.0,7,육류,(주)우와돈
무뼈양념닭발,8809411050633.0,15,육류,주식회사 우보식품
태양내장,8809353230131.0,15,육류,(주)부경축산
두마리목장 고소한치즈(산양유 첨가),8809352491519.0,30,치즈,무지개영농조합법인
오리불고기,8809226810712.0,10,육류,(주)씨지엠
구워먹는윈나소시지,8802266006091.0,40,소시지,(주)오뗄
매콤숯불맛돼지구이,8809355140209.0,10,육류,(주)더고기
양념LA식갈비,8809355140070.0,7,육류,(주)더고기
닭고추장불고기,8809411051487.0,15,육류,주식회사 우보식품
보헤미안부어스트,8809374860089.0,40,소시지,농업회사법인주식회사제주돈육수출센터
흑마늘숙성 오리훈제,8809405820266.0,45,햄,유진식품
아워홈 쫄깃하고 맛있는 부산어묵,8809331507095.0,13,어묵,(주)아워홈
맛있는 편육,8809288512005.0,60,육류,주식회사 최강육수마누
훈제칠면조,8809021759131.0,60,햄,(주)이푸드
도토리묵,8809261140041.0,12,묵,(주)맑은해오름
한성포기김치,8803601001030.0,30,김치,(주)한성식품
맛김치,8803856000352.0,300,김치,(주)진보식품
유기농포기김치,8809334529049.0,365,김치,농업회사법인주식회사담채원
프랑크푸르터,8809374860034.0,40,소시지,농업회사법인주식회사제주돈육수출센터
대관령유기농우유,8801073510753.0,11,우유,삼양식품(주)유가공공장
돈마니아,8809308930000.0,30,육류,(주)광주식품 농업회사법인
불고기맛 비엔나,8801633205303.0,30,소시지,(주)소디프비앤에프
무뼈양념닭발,8809411050695.0,15,육류,주식회사 우보식품
부산어묵,8809025430258.0,8,어묵,(주)부산해정식품
백김치,8809355360010.0,60,김치,정우식품
해든나라냉면김치,8809155587617.0,720,김치,(주)합천식품
허브갈릭 닭다리 순살훈제,8809244377006.0,60,햄,주식회사 부광푸드
제주청정골드우유,8804434000085.0,9,우유,농업회사법인 주식회사 제주우유
등심파스트라미,8807022000719.0,45,햄,주식회사 태림에프웰
쿠겔,8809013405022.0,40,햄,에쓰푸드(주)
크라비아,8801066511286.0,40,어묵,(주)사조대림
대구강촌막창,8809407850049.0,360,육류,강촌막창
알뜰베이컨,8809391190107.0,360,베이컨,참 프레시 미트
족발훈제바베큐,8809226810293.0,45,햄,(주)씨지엠
하루 2잔으로 더 건강한 대니쉬 the 건강한 우유,8801155811648.0,77,우유,(주)동원F&B 수원공장
열우물 연동치미,8809400550076.0,360,김치,농업회사법인 이정 주식회사
포기김치,8804913000186.0,90,김치,농업회사법인유한회사일품김치
훈제오리바베큐슬라이스,8809389820221.0,45,햄,영농조합법인 비엔푸드
총각김치,8804913000025.0,90,김치,농업회사법인유한회사일품김치
바로구이 갈비맛후랑크,8801077616000.0,35,소시지,(주)진주햄
곰곰 소곱창,8809347800715.0,360,육류,농업회사법인 꿀맛나는세상 주식회사
담채원 겉절이,8809334527847.0,60,김치,농업회사법인주식회사담채원
국탕용 종합어묵,8801066200456.0,13,어묵,(주)사조대림
유기농포기김치,8809334529025.0,365,김치,농업회사법인주식회사담채원
불고기소시지,8809013403226.0,180,소시지,에쓰푸드홀딩스 주식회사
감칠배기김치,8801766070434.0,45,김치,(주)삼진 지.에프
순대국거리,8809090570194.0,40,육류,대성식품
참프레 후라이드윙,8809385943573.0,270,육류,(주)참프레
어묵,8804949020165.0,10,어묵,(주)부산식품
꼬순두부,8809188151380.0,10,두부,파아란식품
보쌈김치,8809356100073.0,90,김치,농업회사법인(주)운림가
닭고추장불고기,8809411051449.0,15,육류,주식회사 우보식품
돌산갓김치,8803847000606.0,90,김치,(주)나래식품
하림화이트소시지,8801492362087.0,40,소시지,(주)하림
